REGION,POPULATION,FACILITIES
Greater Accra,5677141.10547031,1487.0
North East,648518.01290716,180.0
Upper West,855816.16055036,537.0
Upper East,1187757.75874912,595.0
Savannah,614996.1695659601,208.0
Bono,1154402.94591073,372.0
Ahafo,599792.00137797,173.0
Bono East,1197727.91474687,339.0
Volta,1932130.5611774502,632.0
Oti,868254.45121872,277.0
Ashanti,6759574.826615821,1440.0
Central,2929849.1900227102,937.0
Western,2235880.68607711,792.0
Western North,825165.2742361501,397.0
Eastern,3366073.2706931,1408.0
Northern,2171228.9395736903,462.0
